SECCION,DISTRITO FEDERAL,DISTRITO LOCAL,MUNICIPIO,Sum of LN,COMBINACIÓN,NSE,SWITCHER
1351,6,11,TORREON,14908,PAN--MORENA,Medio,S4
1354,6,11,TORREON,13213,PAN--MORENA,Medio,S4
1184,5,8,TORREON,11779,PAN--PRI,Medio,S1
1360,6,11,TORREON,11345,PAN--PRI,Alto,S1
1350,5,11,TORREON,9978,PAN--MORENA,Medio,S4
1461,6,8,TORREON,6998,PAN--PRI,Alto,S1
731,4,14,SALTILLO,6928,PAN--PRI,Medio,S1
1365,5,11,TORREON,6023,PAN--MORENA,Medio,S4
745,7,13,SALTILLO,5442,PRI--MORENA,Medio,S4
751,4,14,SALTILLO,4859,PAN--PRI,Medio,S1
436,3,6,MONCLOVA,4198,PAN--PRI,Alto,S1
1382,5,11,TORREON,3960,PAN--PRI,Medio,S1
1177,5,8,TORREON,3745,PAN--PRI,Medio,S1
744,7,13,SALTILLO,3646,PAN--PRI,Medio,S1
977,4,16,SALTILLO,3528,PAN--PRI,Medio,S1
1183,5,8,TORREON,2886,PAN--PRI,Alto,S1
737,7,13,SALTILLO,2778,PRI--MORENA,Medio,S4
754,4,14,SALTILLO,2712,PAN--PRI,Medio,S1
732,4,14,SALTILLO,2648,PAN--PRI,Medio,S1
1172,6,8,TORREON,2606,PAN--PRI,Medio,S1
757,4,14,SALTILLO,2605,PAN--PRI,Medio,S1
909,4,15,SALTILLO,2554,PRI--MORENA,Medio,S4
1359,6,11,TORREON,2426,PRI--MORENA,Medio,S4
1659,7,16,SALTILLO,2353,PAN--PRI,Medio,S1
1193,5,9,TORREON,2283,PAN--PRI,Alto,S1
759,4,14,SALTILLO,2217,PAN--PRI,Medio,S1
800,4,14,SALTILLO,2105,PAN--PRI,Medio,S1
753,4,14,SALTILLO,2103,PAN--PRI,Medio,S1
730,4,14,SALTILLO,2102,PAN--PRI,Medio,S1
433,3,6,MONCLOVA,2012,PAN--PRI,Medio,S1
1383,5,11,TORREON,1981,PRI--MORENA,Medio,S4
398,3,5,MONCLOVA,1971,PAN--PRI,Medio,S1
795,7,13,SALTILLO,1960,PRI--MORENA,Medio,S4
1384,5,11,TORREON,1958,PAN--MORENA,Medio,S4
397,3,5,MONCLOVA,1859,PAN--PRI,Medio,S1
756,4,14,SALTILLO,1846,PAN--PRI,Medio,S1
385,3,6,MONCLOVA,1829,PAN--PRI,Medio,S1
1353,6,11,TORREON,1748,PAN--MORENA,Medio,S4
990,7,16,SALTILLO,1724,PAN--PRI,Medio,S1
764,4,14,SALTILLO,1674,PAN--PRI,Medio,S1
971,7,16,SALTILLO,1633,PAN--PRI,Medio,S1
1430,5,10,TORREON,1611,PRI--MORENA,Medio,S4
787,7,13,SALTILLO,1607,PRI--MORENA,Medio,S4
988,7,16,SALTILLO,1564,PAN--PRI,Alto,S1
1412,5,10,TORREON,1551,PAN--MORENA,Medio,S4
1363,5,11,TORREON,1543,PRI--MORENA,Medio,S4
415,3,5,MONCLOVA,1541,PRI--PAN,Medio,S1
1261,5,9,TORREON,1515,PRI--MORENA,Medio,S4
356,3,6,MONCLOVA,1466,PAN--PRI,Medio,S1
758,4,14,SALTILLO,1440,PAN--PRI,Medio,S1
763,4,14,SALTILLO,1436,PAN--PRI,Medio,S1
407,3,6,MONCLOVA,1425,PAN--PRI,Medio,S1
856,7,13,SALTILLO,1425,PAN--PRI,Medio,S1
750,4,14,SALTILLO,1424,PAN--PRI,Medio,S1
991,7,16,SALTILLO,1421,PAN--MORENA,Medio,S4
735,4,14,SALTILLO,1413,PAN--PRI,Alto,S1
976,4,16,SALTILLO,1395,PAN--PRI,Medio,S1
1349,5,11,TORREON,1377,PRI--MORENA,Medio,S4
413,3,5,MONCLOVA,1370,PAN--PRI,Medio,S1
776,4,14,SALTILLO,1368,PAN--PRI,Medio,S1
847,7,13,SALTILLO,1366,PAN--PRI,Alto,S1
984,7,16,SALTILLO,1363,PRI--MORENA,Medio,S4
872,4,15,SALTILLO,1359,PAN--PRI,Medio,S1
321,3,5,MONCLOVA,1356,PRI--PAN,Medio,S1
937,7,15,SALTILLO,1355,PRI--MORENA,Medio,S4
320,3,5,MONCLOVA,1340,PRI--PAN,Medio,S1
1362,5,11,TORREON,1339,PAN--MORENA,Medio,S4
1451,5,10,TORREON,1325,PRI--MORENA,Medio,S4
1611,4,14,SALTILLO,1323,PRI--MORENA,Medio,S4
778,4,14,SALTILLO,1320,PAN--PRI,Medio,S1
1414,5,10,TORREON,1311,PAN--PRI,Alto,S1
779,4,14,SALTILLO,1309,PAN--PRI,Medio,S1
801,4,14,SALTILLO,1305,PAN--PRI,Medio,S1
1210,5,9,TORREON,1302,PAN--PRI,Alto,S1
1626,4,14,SALTILLO,1302,PRI--MORENA,Medio,S4
1425,5,10,TORREON,1300,PAN--MORENA,Medio,S4
1540,6,10,TORREON,1295,PAN--PRI,Medio,S1
1529,6,10,TORREON,1292,PAN--PRI,Medio,S1
791,7,13,SALTILLO,1285,PRI--MORENA,Medio,S4
983,7,16,SALTILLO,1281,PAN--MORENA,Medio,S4
1398,5,10,TORREON,1272,PAN--PRI,Medio,S1
1258,5,9,TORREON,1268,PRI--MORENA,Medio,S4
339,3,5,MONCLOVA,1261,PAN--PRI,Medio,S1
1209,5,9,TORREON,1254,PAN--PRI,Alto,S1
1348,5,11,TORREON,1254,PRI--MORENA,Medio,S4
774,4,14,SALTILLO,1235,PAN--PRI,Medio,S1
897,7,15,SALTILLO,1235,PAN--PRI,Alto,S1
812,7,13,SALTILLO,1234,PRI--MORENA,Medio,S4
1386,5,11,TORREON,1234,PAN--PRI,Medio,S1
1623,4,14,SALTILLO,1231,PAN--PRI,Medio,S1
376,3,5,MONCLOVA,1217,PRI--PAN,Medio,S1
956,4,15,SALTILLO,1213,PRI--MORENA,Medio,S4
404,3,6,MONCLOVA,1211,PRI--PAN,Medio,S1
1218,5,9,TORREON,1205,PAN--PRI,Alto,S1
1433,5,10,TORREON,1205,PRI--MORENA,Medio,S4
1423,5,10,TORREON,1204,PAN--PRI,Alto,S1
1213,5,9,TORREON,1196,PAN--PRI,Alto,S1
1315,6,8,TORREON,1181,PRI--MORENA,Medio,S4
1630,4,14,SALTILLO,1180,PRI--MORENA,Medio,S4
432,3,6,MONCLOVA,1179,PRI--PAN,Medio,S1
1408,5,10,TORREON,1179,PAN--PRI,Alto,S1
866,4,15,SALTILLO,1175,PAN--PRI,Medio,S1
1317,6,8,TORREON,1173,PAN--MORENA,Medio,S4
346,3,5,MONCLOVA,1171,PRI--MORENA,Medio,S4
1455,5,10,TORREON,1170,PRI--MORENA,Medio,S4
743,7,13,SALTILLO,1157,PAN--PRI,Medio,S1
1428,5,10,TORREON,1154,PAN--MORENA,Medio,S4
1197,5,9,TORREON,1152,PAN--PRI,Medio,S1
1312,6,8,TORREON,1150,PAN--MORENA,Medio,S4
747,7,13,SALTILLO,1148,PRI--MORENA,Medio,S4
957,4,15,SALTILLO,1148,PAN--PRI,Medio,S1
1526,6,10,TORREON,1146,PAN--PRI,Medio,S1
1420,5,10,TORREON,1140,PAN--PRI,Alto,S1
769,7,13,SALTILLO,1135,PRI--MORENA,Medio,S4
1192,5,8,TORREON,1124,PAN--PRI,Alto,S1
1368,5,9,TORREON,1124,PAN--MORENA,Medio,S4
1547,6,10,TORREON,1120,PAN--MORENA,Medio,S4
1215,5,9,TORREON,1117,PAN--PRI,Alto,S1
1530,6,10,TORREON,1117,PAN--PRI,Medio,S1
913,4,15,SALTILLO,1115,PAN--PRI,Medio,S1
1195,5,9,TORREON,1111,PAN--PRI,Alto,S1
914,7,15,SALTILLO,1107,PAN--MORENA,Medio,S4
1418,5,10,TORREON,1104,PAN--PRI,Alto,S1
1625,4,14,SALTILLO,1097,PAN--MORENA,Medio,S4
865,4,15,SALTILLO,1090,PAN--PRI,Medio,S1
775,4,14,SALTILLO,1081,PAN--PRI,Medio,S1
428,3,6,MONCLOVA,1079,PAN--MORENA,Medio,S4
912,4,15,SALTILLO,1073,PAN--PRI,Alto,S1
780,4,14,SALTILLO,1067,PAN--PRI,Medio,S1
781,4,15,SALTILLO,1063,PAN--PRI,Medio,S1
1201,5,8,TORREON,1062,PAN--PRI,Medio,S1
765,7,13,SALTILLO,1056,PRI--MORENA,Medio,S4
863,4,15,SALTILLO,1056,PRI--MORENA,Medio,S4
995,7,16,SALTILLO,1054,PAN--PRI,Medio,S1
1206,5,9,TORREON,1054,PAN--PRI,Alto,S1
1339,5,9,TORREON,1052,PAN--MORENA,Medio,S4
1248,5,9,TORREON,1050,PAN--MORENA,Medio,S4
873,4,15,SALTILLO,1047,PAN--PRI,Alto,S1
1454,5,10,TORREON,1044,PAN--MORENA,Medio,S4
420,3,6,MONCLOVA,1043,PAN--PRI,Medio,S1
1413,5,10,TORREON,1043,PAN--PRI,Alto,S1
871,4,15,SALTILLO,1042,PAN--PRI,Medio,S1
1196,5,9,TORREON,1040,PAN--MORENA,Medio,S4
1189,5,9,TORREON,1038,PRI--MORENA,Alto,S4
864,4,15,SALTILLO,1037,PRI--MORENA,Medio,S4
919,7,13,SALTILLO,1036,PAN--PRI,Medio,S1
955,4,15,SALTILLO,1035,PRI--MORENA,Medio,S4
1194,5,9,TORREON,1032,PAN--PRI,Alto,S1
1535,6,10,TORREON,1029,PAN--PRI,Medio,S1
884,7,13,SALTILLO,1023,PRI--MORENA,Medio,S4
1399,5,10,TORREON,1022,PAN--PRI,Medio,S1
761,4,14,SALTILLO,1021,PAN--PRI,Medio,S1
