ID_MUN,Indicador,Valor
1008,Coeficiente de Gini,0.33117
1008,Razón de ingreso,0.209038
1008,IDH,0.708
1002,Coeficiente de Gini,0.329894
1002,Razón de ingreso,0.180693
1002,IDH,0.665
1009,Coeficiente de Gini,0.330025
1009,Razón de ingreso,0.166796
1009,IDH,0.678
1010,Coeficiente de Gini,0.329181
1010,Razón de ingreso,0.194338
1010,IDH,0.652
1011,Coeficiente de Gini,0.341609
1011,Razón de ingreso,0.188114
1011,IDH,0.733
4008,Coeficiente de Gini,0.337827
4008,Razón de ingreso,0.17507
4008,IDH,0.69
5001,Coeficiente de Gini,0.302534
5001,Razón de ingreso,0.146896
5001,IDH,0.703
5003,Coeficiente de Gini,0.326268
5003,Razón de ingreso,0.182704
5003,IDH,0.746
5016,Coeficiente de Gini,0.312275
5016,Razón de ingreso,0.148806
5016,IDH,0.709
5029,Coeficiente de Gini,0.305774
5029,Razón de ingreso,0.181366
5029,IDH,0.689
5005,Coeficiente de Gini,0.337005
5005,Razón de ingreso,0.177888
5005,IDH,0.657
5036,Coeficiente de Gini,0.324123
5036,Razón de ingreso,0.196972
5036,IDH,0.619
5011,Coeficiente de Gini,0.326042
5011,Razón de ingreso,0.166783
5011,IDH,0.636
5012,Coeficiente de Gini,0.312728
5012,Razón de ingreso,0.164018
5012,IDH,0.649
5015,Coeficiente de Gini,0.29934
5015,Razón de ingreso,0.188245
5015,IDH,0.664
5021,Coeficiente de Gini,0.308511
5021,Razón de ingreso,0.17744
5021,IDH,0.713
5022,Coeficiente de Gini,0.314774
5022,Razón de ingreso,0.16356
5022,IDH,0.72
7009,Coeficiente de Gini,0.333825
7009,Razón de ingreso,0.184529
7009,IDH,0.59
5026,Coeficiente de Gini,0.320245
5026,Razón de ingreso,0.187549
5026,IDH,0.643
7010,Coeficiente de Gini,0.32242
7010,Razón de ingreso,0.167981
7010,IDH,0.534
5034,Coeficiente de Gini,0.300613
5034,Razón de ingreso,0.194708
5034,IDH,0.713
5037,Coeficiente de Gini,0.308889
5037,Razón de ingreso,0.172384
5037,IDH,0.689
7114,Coeficiente de Gini,0.318982
7114,Razón de ingreso,0.18195
7114,IDH,0.6090854
7086,Coeficiente de Gini,0.350955
7086,Razón de ingreso,0.177344
7086,IDH,0.673
7105,Coeficiente de Gini,0.336915
7105,Razón de ingreso,0.18908
7105,IDH,0.6842549
7043,Coeficiente de Gini,0.339197
7043,Razón de ingreso,0.16599
7043,IDH,0.638
7016,Coeficiente de Gini,0.316385
7016,Razón de ingreso,0.156234
7016,IDH,0.541
7083,Coeficiente de Gini,0.34026
7083,Razón de ingreso,0.162726
7083,IDH,0.555
7084,Coeficiente de Gini,0.327721
7084,Razón de ingreso,0.166681
7084,IDH,0.624
7025,Coeficiente de Gini,0.319495
7025,Razón de ingreso,0.18389
7025,IDH,0.592
7090,Coeficiente de Gini,0.330476
7090,Razón de ingreso,0.171534
7090,IDH,0.596
7040,Coeficiente de Gini,0.336144
7040,Razón de ingreso,0.176449
7040,IDH,0.694
7041,Coeficiente de Gini,0.342754
7041,Razón de ingreso,0.179084
7041,IDH,0.529
7020,Coeficiente de Gini,0.311108
7020,Razón de ingreso,0.163452
7020,IDH,0.574
7030,Coeficiente de Gini,0.316383
7030,Razón de ingreso,0.16902
7030,IDH,0.572
7036,Coeficiente de Gini,0.339309
7036,Razón de ingreso,0.164465
7036,IDH,0.583
7033,Coeficiente de Gini,0.302771
7033,Razón de ingreso,0.139987
7033,IDH,0.538
7037,Coeficiente de Gini,0.322838
7037,Razón de ingreso,0.175554
7037,IDH,0.656
7067,Coeficiente de Gini,0.302817
7067,Razón de ingreso,0.156481
7067,IDH,0.539
7075,Coeficiente de Gini,0.344658
7075,Razón de ingreso,0.163101
7075,IDH,0.56
7055,Coeficiente de Gini,0.348653
7055,Razón de ingreso,0.170748
7055,IDH,0.656
7056,Coeficiente de Gini,0.341549
7056,Razón de ingreso,0.173792
7056,IDH,0.459
7093,Coeficiente de Gini,0.342764
7093,Razón de ingreso,0.163991
7093,IDH,0.53
7062,Coeficiente de Gini,0.317363
7062,Razón de ingreso,0.163347
7062,IDH,0.611
7092,Coeficiente de Gini,0.321574
7092,Razón de ingreso,0.169359
7092,IDH,0.598
7118,Coeficiente de Gini,0.371067
7118,Razón de ingreso,0.192162
7118,IDH,0.5057309
7110,Coeficiente de Gini,0.343692
7110,Razón de ingreso,0.182422
7110,IDH,0.5734247
7103,Coeficiente de Gini,0.32585
7103,Razón de ingreso,0.185347
7103,IDH,0.6584456
