id,sexo,edad,califica_presidente,califica_gobernador,distance_Km,nse,candidatos_gober_3,df
296,M,21,7,7,178.8128283,D+,JDM,1
17,H,62,9,9,26.63207474,D,JDM,5
21,M,75,10,8,35.12011724,D,JDM,2
270,M,18,8,8,178.7031414,D,JDM,1
27,H,75,6,3,35.15138967,D,JDM,2
38,H,73,8,6,35.24673404,D,JDM,2
39,H,74,10,5,35.15555406,D,JDM,2
69,M,53,10,7,26.7956402,D,JDM,5
95,M,70,10,10,16.22421211,C-,RBC,5
52,H,60,10,7,26.79498093,D,JDM,5
126,H,52,7,8,16.32005151,C-,JDM,5
55,H,45,10,6,26.79515332,D,JDM,5
139,H,69,10,1,16.21111857,D,JDM,5
140,H,59,10,5,16.22020261,D,JDM,5
142,H,23,10,8,16.16821976,D,RBC,5
431,H,36,9,9,7.036561177,D,Otro,6
165,H,37,10,1,63.98561873,D,JDM,5
211,M,35,10,5,153.8765023,D,JDM,1
212,M,45,10,6,153.7668717,D,JDM,1
427,M,30,9,9,6.910761466,D,RBC,6
216,M,40,10,6,153.6900788,E,JDM,1
393,H,70,10,8,6.972699016,D,JDM,6
253,H,45,10,8,76.42920118,C,JDM,5
397,H,65,10,10,7.869009792,D,JDM,6
262,M,74,10,8,76.71976942,C+,JDM,5
436,M,26,10,1,8.073328359,D,JDM,6
415,M,44,9,9,8.070603785,D,Otro,6
416,M,48,8,10,8.096673286,D,Otro,6
432,H,75,10,5,8.043358497,D,JDM,6
434,M,64,9,8,8.048794104,D,JDM,6
407,M,45,10,8,7.893153205,D,JDM,6
303,H,41,9,9,91.43384998,D,RBC,5
412,H,40,10,9,7.88528628,D,JDM,6
313,H,75,5,7,91.33476169,D,JDM,5
408,H,32,10,6,8.013438304,D,JDM,6
383,M,72,10,9,8.035857332,D,JDM,6
421,H,58,10,1,8.219886642,D,JDM,6
327,M,35,10,8,152.041815,D,JDM,1
332,M,60,10,1,151.8713595,D,JDM,1
334,M,24,10,10,151.8818957,D,JDM,1
351,M,56,10,9,151.8135533,D,Otro,1
354,M,18,10,5,151.7849138,D,JDM,1
362,M,37,9,9,151.9443009,D,JDM,1
363,H,33,10,5,152.0023282,D,JDM,1
365,M,45,10,5,152.0700759,D,JDM,1
380,H,41,10,5,151.855133,D,JDM,1
79,M,32,10,1,16.30458322,C-,Otro,5
92,H,23,8,8,37.4151536,C-,RBC,2
109,M,69,10,10,16.42130183,D,JDM,5
114,M,52,8,8,37.31340581,D,JDM,2
