id,edad,califica_presidente,califica_gobernador,distance_km,RBC,JDM,Nose,Ninguno,VGH,Tina,NSE,DF
295,18,10,8,178.7915623,1,0,0,0,0,0,D,1
21,75,10,8,35.12011724,0,1,0,0,0,0,D,2
279,50,10,8,178.7011829,0,1,0,0,0,0,D,1
39,74,10,5,35.15555406,0,1,0,0,0,0,D,2
69,53,10,7,26.7956402,0,1,0,0,0,0,D,5
68,33,10,10,26.85938211,1,0,0,0,0,0,D,5
85,48,10,5,37.42691677,0,0,0,1,0,0,D,2
94,49,10,6,37.46141514,0,1,0,0,0,0,D,2
110,44,10,7,37.36929388,0,1,0,0,0,0,D,2
53,51,10,10,26.80733473,1,0,0,0,0,0,D,5
52,60,10,7,26.79498093,0,1,0,0,0,0,D,5
55,45,10,6,26.79515332,0,1,0,0,0,0,D,5
139,69,10,1,16.21111857,0,1,0,0,0,0,D,5
140,59,10,5,16.22020261,0,1,0,0,0,0,D,5
142,23,10,8,16.16821976,1,0,0,0,0,0,D,5
67,59,10,10,26.82012268,0,0,0,1,0,0,D,5
440,42,10,9,7.071952502,0,1,0,0,0,0,D,6
165,37,10,1,63.98561873,0,1,0,0,0,0,D,5
439,23,10,8,7.050569466,0,1,0,0,0,0,D,6
190,45,10,10,153.573717,0,1,0,0,0,0,D,1
197,20,10,10,153.771686,1,0,0,0,0,0,D,1
211,35,10,5,153.8765023,0,1,0,0,0,0,D,1
212,45,10,6,153.7668717,0,1,0,0,0,0,D,1
222,60,10,6,153.6486589,0,0,0,0,1,0,D,1
393,70,10,8,6.972699016,0,1,0,0,0,0,D,6
397,65,10,10,7.869009792,0,1,0,0,0,0,D,6
436,26,10,1,8.073328359,0,1,0,0,0,0,D,6
437,58,10,10,8.090256724,1,0,0,0,0,0,D,6
432,75,10,5,8.043358497,0,1,0,0,0,0,D,6
407,45,10,8,7.893153205,0,1,0,0,0,0,D,6
412,40,10,9,7.88528628,0,1,0,0,0,0,D,6
305,20,10,10,91.43152206,0,0,1,0,0,0,D,5
408,32,10,6,8.013438304,0,1,0,0,0,0,D,6
383,72,10,9,8.035857332,0,1,0,0,0,0,D,6
421,58,10,1,8.219886642,0,1,0,0,0,0,D,6
323,37,10,10,152.0027424,1,0,0,0,0,0,D,1
419,22,10,10,8.172425761,1,0,0,0,0,0,D,6
327,35,10,8,152.041815,0,1,0,0,0,0,D,1
332,60,10,1,151.8713595,0,1,0,0,0,0,D,1
334,24,10,10,151.8818957,0,1,0,0,0,0,D,1
390,67,10,8,7.969781177,0,1,0,0,0,0,D,6
410,62,10,6,7.955066297,0,1,0,0,0,0,D,6
386,68,10,10,7.980616221,1,0,0,0,0,0,D,6
351,56,10,9,151.8135533,0,0,1,0,0,0,D,1
354,18,10,5,151.7849138,0,1,0,0,0,0,D,1
363,33,10,5,152.0023282,0,1,0,0,0,0,D,1
365,45,10,5,152.0700759,0,1,0,0,0,0,D,1
380,41,10,5,151.855133,0,1,0,0,0,0,D,1
853,54,10,8,2.029780007,0,1,0,0,0,0,D,3
647,35,10,8,4.096871979,0,1,0,0,0,0,D,6
706,36,10,5,4.298472381,0,0,1,0,0,0,D,6
690,19,10,10,5.09952135,1,0,0,0,0,0,D,6
626,68,10,1,6.009243149,0,1,0,0,0,0,D,3
630,53,10,9,5.969843256,0,0,0,0,1,0,D,3
34,74,10,5,35.19380433,0,0,1,0,0,0,D,2
109,69,10,10,16.42130183,0,1,0,0,0,0,D,5
116,61,10,8,37.2102433,0,1,0,0,0,0,D,2
637,88,10,6,4.083029122,0,1,0,0,0,0,D,6
638,55,10,5,4.172012128,0,1,0,0,0,0,D,6
174,39,10,8,64.74894931,1,0,0,0,0,0,D,5
867,42,10,5,2.930211152,0,1,0,0,0,0,D,3
863,73,10,1,2.947010977,0,1,0,0,0,0,D,3
275,35,10,8,91.35321097,0,0,1,0,0,0,D,5
450,38,10,5,5.612122399,0,1,0,0,0,0,D,6
300,63,10,7,91.2764958,0,1,0,0,0,0,D,5
304,46,10,8,91.35598897,1,0,0,0,0,0,D,5
820,24,10,5,7.814402082,0,0,1,0,0,0,D,3
322,50,10,8,151.9304445,0,1,0,0,0,0,D,1
325,76,10,10,151.8160381,0,1,0,0,0,0,D,1
336,33,10,2,151.910363,0,0,1,0,0,0,D,1
821,20,10,8,7.814402082,0,1,0,0,0,0,D,3
338,66,10,10,151.9055093,0,1,0,0,0,0,D,1
824,55,10,9,7.803552978,0,1,0,0,0,0,D,3
339,34,10,8,152.0851156,0,1,0,0,0,0,D,1
352,29,10,5,151.8016216,0,0,1,0,0,0,D,1
772,65,10,7,8.238064128,0,1,0,0,0,0,D,3
775,44,10,8,8.314034865,1,0,0,0,0,0,D,3
356,26,10,9,151.752626,0,1,0,0,0,0,D,1
106,52,10,10,16.40010084,0,1,0,0,0,0,D,5
920,52,10,1,6.374154482,0,1,0,0,0,0,D,3
921,48,10,8,6.403885035,1,0,0,0,0,0,D,3
148,62,10,9,63.90618231,1,0,0,0,0,0,D,5
169,75,10,1,64.80615215,0,1,0,0,0,0,D,5
203,35,10,5,153.3052124,0,1,0,0,0,0,D,1
532,65,10,1,6.885516112,0,1,0,0,0,0,D,6
879,44,10,9,3.102931311,0,1,0,0,0,0,D,3
886,41,10,1,3.107323312,0,1,0,0,0,0,D,3
888,56,10,7,3.070340437,0,1,0,0,0,0,D,3
889,65,10,5,3.02750838,0,1,0,0,0,0,D,3
919,18,10,8,6.364101417,0,1,0,0,0,0,D,3
150,66,10,8,63.91057087,1,0,0,0,0,0,D,5
736,35,10,10,5.761416524,0,1,0,0,0,0,D,3
228,65,10,8,153.2846003,0,1,0,0,0,0,D,1
738,52,10,10,5.761162532,0,1,0,0,0,0,D,3
737,45,10,6,5.752097114,0,1,0,0,0,0,D,3
740,40,10,5,5.756032958,0,0,1,0,0,0,D,3
735,32,10,5,5.738980794,0,1,0,0,0,0,D,3
240,70,10,10,76.64524152,0,1,0,0,0,0,D,5
787,33,10,8,8.204201872,0,1,0,0,0,0,D,3
793,59,10,5,8.209371748,0,1,0,0,0,0,D,3
375,57,10,10,151.850744,0,1,0,0,0,0,D,1
379,61,10,10,152.0066416,0,1,0,0,0,0,D,1
146,21,10,10,63.91428429,0,1,0,0,0,0,D,5
187,62,10,5,64.86653255,0,0,1,0,0,0,D,5
196,54,10,10,153.7596273,0,1,0,0,0,0,D,1
198,24,10,10,153.8091862,1,0,0,0,0,0,D,1
217,31,10,8,153.202574,0,1,0,0,0,0,D,1
221,42,10,8,153.6546899,0,1,0,0,0,0,D,1
223,64,10,6,153.6484322,0,1,0,0,0,0,D,1
281,27,10,10,91.33665141,1,0,0,0,0,0,D,5
751,65,10,10,6.137640671,1,0,0,0,0,0,D,3
331,55,10,9,151.8505002,0,1,0,0,0,0,D,1
755,28,10,8,6.285299902,0,1,0,0,0,0,D,3
12,99,10,7,35.21647688,0,1,0,0,0,0,D,2
40,36,10,6,35.18100737,0,0,1,0,0,0,D,2
89,36,10,10,37.35888253,1,0,0,0,0,0,D,2
96,56,10,9,16.28602248,1,0,0,0,0,0,D,5
124,45,10,8,16.17661915,0,1,0,0,0,0,D,5
171,60,10,7,64.8576915,0,1,0,0,0,0,D,5
180,58,10,10,63.91598299,0,1,0,0,0,0,D,5
185,43,10,10,64.81732261,1,0,0,0,0,0,D,5
186,62,10,10,64.85611079,0,1,0,0,0,0,D,5
193,65,10,6,153.5697836,0,1,0,0,0,0,D,1
264,66,10,7,76.74630151,0,1,0,0,0,0,D,5
335,66,10,6,151.8998425,0,1,0,0,0,0,D,1
340,35,10,10,151.7906864,1,0,0,0,0,0,D,1
575,21,10,5,8.189825041,1,0,0,0,0,0,D,4
357,27,10,8,151.7296747,0,1,0,0,0,0,D,1
378,49,10,8,152.0662243,0,1,0,0,0,0,D,1
926,53,10,5,7.26004493,0,0,1,0,0,0,D,3
858,63,10,1,8.18012318,0,1,0,0,0,0,D,4
795,45,10,9,8.260573777,0,1,0,0,0,0,D,3
789,57,10,1,8.33939537,0,1,0,0,0,0,D,3
790,52,10,10,8.355966326,1,0,0,0,0,0,D,3
481,63,10,7,10.06940092,0,1,0,0,0,0,D,4
745,62,10,1,15.64600504,0,1,0,0,0,0,D,4
748,68,10,10,15.65511953,0,1,0,0,0,0,D,4
877,50,10,1,12.47844535,0,1,0,0,0,0,D,4
884,60,10,2,12.44477366,0,0,1,0,0,0,D,4
870,32,10,10,12.48129699,0,0,1,0,0,0,D,4
