Name,Folder Path,Inicio del informe,Fin del informe,Nombre del anuncio,Entrega del anuncio,Nombre del conjunto de anuncios,Puja,Tipo de puja,Presupuesto del conjunto de anuncios,Tipo de presupuesto del conjunto de anuncios,Último cambio significativo,Configuración de atribución,Resultados,Indicador de resultado,Alcance,Impresiones,Coste por resultados,Clasificación por calidad,Clasificación por porcentaje de interacción,Clasificación por tasa de conversión,Importe gastado (MXN),Fin,Clasificacion,Lugar,Objetivo,Red Social,Dias_transcurridos,Clasificacion.Descripción,Lugar.Descripción,Objetivo.Descripción,Red_Social.Descripción,Nombre_corto_anuncio
"RZB Púrpura-Analytics-Anuncios-01-mar-2024-1-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-01 00:00:00.000,2024-03-01 00:00:00.000,"24030101RZBSPOTGENERYUCA18-MAHYMTHRFB Inicio Campaña","inactive","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",28592,"video_thruplay_watched_actions",99960,113172,0.059596,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",1703.98,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",30,"Spots","Yucatán","ThruPlay","Facebook","Inicio Campaña"
"RZB Púrpura-Analytics-Anuncios-01-mar-2024-1-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-01 00:00:00.000,2024-03-01 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Corto","archived","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",52773,"video_thruplay_watched_actions",85636,92965,0.055554,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",2931.75,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",30,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Corto"
"RZB Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-02 00:00:00.000,2024-03-02 00:00:00.000,"24030101RZBSPOTGENERYUCA18-MAHYMTHRFB Inicio Campaña","inactive","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",48171,"video_thruplay_watched_actions",236181,285781,0.102036,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",4915.2,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",29,"Spots","Yucatán","ThruPlay","Facebook","Inicio Campaña"
"RZB Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-02 00:00:00.000,2024-03-02 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Corto","archived","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",31572,"video_thruplay_watched_actions",48891,55607,0.063874,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",2016.63,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",29,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Corto"
"RZB Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-02 00:00:00.000,2024-03-02 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",21111,"video_thruplay_watched_actions",64837,73619,0.088538,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",1869.12,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",29,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-03-mar-2024-3-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-03 00:00:00.000,2024-03-03 00:00:00.000,"24030101RZBSPOTGENERYUCA18-MAHYMTHRFB Inicio Campaña","inactive","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",30393,"video_thruplay_watched_actions",184193,208597,0.104177,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Por encima de la media",3166.25,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",28,"Spots","Yucatán","ThruPlay","Facebook","Inicio Campaña"
"RZB Púrpura-Analytics-Anuncios-03-mar-2024-3-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-03 00:00:00.000,2024-03-03 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Corto","archived","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",,"",0,0,,"-","-","-",0,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",28,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Corto"
"RZB Púrpura-Analytics-Anuncios-03-mar-2024-3-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-03 00:00:00.000,2024-03-03 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",76156,"video_thruplay_watched_actions",124317,157645,0.075923,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",5782.02,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",28,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-04 00:00:00.000,2024-03-04 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",35329,"video_thruplay_watched_actions",61253,67272,0.064578,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",2281.47,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",27,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-05 00:00:00.000,2024-03-05 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",54453,"video_thruplay_watched_actions",75559,89457,0.061463,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",3346.85,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",26,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Largo"
