id,entidad,distrito_f,distrito_l,gid,municipio,seccion,tipo,geometry1_,ln,pad,xcent_long,ycent_lat
"84970","5","7","16","112195","30","1648","2",,"398","398",-101.003396578854,25.3839391476173
"84922","5","6","10","107066","35","1600","2",,"331","332",-103.384940038121,25.492616900779
"84923","5","6","10","107069","35","1601","2",,"265","265",-103.385677984664,25.4913563725022
"84924","5","6","10","107071","35","1602","2",,"406","406",-103.383554844581,25.491299253717
"84971","5","7","16","112199","30","1649","2",,"610","610",-101.006691577895,25.3825122321494
"84972","5","7","16","112201","30","1650","2",,"404","404",-101.004070189557,25.3829868379857
"83543","5","3","6","86501","10","188","2",,"1150","1152",-101.444635969841,26.9262363058862
"83544","5","3","6","86508","10","189","2",,"984","984",-101.465259121535,26.9305142601437
"84973","5","7","16","112203","30","1651","2",,"450","450",-101.004656231455,25.38128242001
"83545","5","3","6","86515","10","190","2",,"866","866",-101.459811531596,26.9262849731933
"83560","5","3","6","86606","10","205","2",,"638","638",-101.447298459398,26.9145018512777
"83737","5","3","6","87402","18","386","2",,"1151","1153",-101.442027125498,26.8974647252862
"83561","5","3","6","86610","10","206","2",,"1204","1206",-101.450396356457,26.911663095425
"84283","5","4","15","95721","30","948","2",,"931","931",-100.947200335787,25.3996430528841
"83372","5","1","1","68838","2","4","2",,"5454","5459",-100.960226998237,29.3390199707049
"83395","5","1","1","69058","2","28","2",,"1415","1420",-100.952472271619,29.3096090140255
"83370","5","3","5","85185","1","2","3",,"419","423",-101.197970910297,27.0966079768225
"83369","5","3","5","85179","1","1","3",,"860","863",-101.403253831135,27.1574383619551
"83371","5","1","1","68829","2","3","2",,"2466","2469",-100.986354256299,29.348393664574
"83562","5","3","6","86616","10","207","2",,"1381","1381",-101.455695847202,26.910133891494
"83373","5","1","1","68846","2","5","2",,"1673","1676",-100.94826887944,29.3395034554747
"83374","5","1","1","68854","2","6","2",,"841","843",-100.942352275565,29.3305751278586
"83375","5","1","1","68862","2","7","2",,"1261","1264",-100.947002624809,29.3311344376032
"83376","5","1","1","68873","2","8","2",,"1318","1322",-100.954816917342,29.3308322007829
"83377","5","1","1","68888","2","10","2",,"16244","16279",-100.991041933289,29.3165502482337
"83378","5","1","1","68898","2","11","2",,"2595","2598",-100.972658446068,29.3329198155286
"83419","5","3","5","85520","3","54","2",,"1288","1291",-100.853131507564,28.3320963745797
"83379","5","1","1","68907","2","12","2",,"3294","3306",-100.968285781267,29.3285671061881
"83380","5","1","1","68917","2","13","2",,"453","455",-100.938872518264,29.3293789574148
"83381","5","1","1","68930","2","14","2",,"809","810",-100.933869781202,29.328185214382
"83382","5","1","1","68939","2","15","2",,"753","755",-100.924273184253,29.3234290422837
"83383","5","1","1","68945","2","16","2",,"886","891",-100.932390367049,29.321620225505
"83384","5","1","1","68954","2","17","2",,"816","817",-100.940240624335,29.3241629508883
"83385","5","1","1","68963","2","18","2",,"1773","1776",-100.949194623121,29.3212596468401
"83396","5","1","1","69069","2","29","2",,"1822","1824",-100.946074301167,29.3103032979798
"83397","5","1","1","69083","2","30","2",,"1308","1309",-100.927311053507,29.310180540571
"83386","5","1","1","68975","2","19","2",,"10534","10551",-100.958079837316,29.31984828251
"83387","5","1","1","68983","2","20","2",,"965","966",-100.943172589236,29.3218872564161
"83388","5","1","1","68991","2","21","2",,"1120","1121",-100.944047616054,29.316399464067
"83389","5","1","1","68999","2","22","2",,"819","821",-100.939628876567,29.3172326771121
"83390","5","1","1","69008","2","23","2",,"538","539",-100.935943657856,29.3169355173588
"83391","5","1","1","69017","2","24","2",,"638","640",-100.933510743903,29.3175155293396
"83392","5","1","1","69029","2","25","2",,"1321","1322",-100.925268321551,29.3170179580582
"83393","5","1","1","69036","2","26","2",,"777","780",-100.919249132206,29.3161303239623
"83394","5","1","1","69048","2","27","2",,"884","889",-100.937066000093,29.3131702386133
"83398","5","1","1","69094","2","31","2",,"7369","7391",-100.908362614598,29.3038874892957
"83399","5","1","1","69102","2","32","2",,"897","898",-100.935913431697,29.3103115502195
"83400","5","1","1","69113","2","33","2",,"7970","7986",-100.96415023466,29.3112496017849
"83401","5","1","1","69123","2","34","2",,"4682","4690",-100.946595254878,29.3018753798857
"83408","5","3","5","85442","3","43","2",,"1631","1635",-100.850149196264,28.3546563059625
"83409","5","3","5","85449","3","44","2",,"1107","1109",-100.844373869206,28.3480228535462
"83402","5","1","1","69133","2","35","2",,"4569","4580",-100.940541466052,29.3002497466731
"83403","5","1","1","69144","2","36","2",,"1462","1465",-100.926014431387,29.2960896200275
"83404","5","1","1","69153","2","37","2",,"1273","1274",-100.954308935706,29.3018569556212
"83405","5","1","1","69179","2","40","4",,"23","23",-102.21221149561,29.4181654404893
"83410","5","3","5","85456","3","45","2",,"759","760",-100.850081764254,28.3468738124873
"83411","5","3","5","85461","3","46","2",,"859","860",-100.855444928773,28.3460708564576
"83510","5","2","7","77881","9","155","4",,"373","373",-103.245746970821,25.9335062595226
"83406","5","1","1","69186","2","41","3",,"8746","8778",-100.955715931361,29.2542311101112
"83407","5","3","5","85434","3","42","3",,"2810","2818",-100.865460957535,28.3562903483659
"83412","5","3","5","85470","3","47","3",,"1707","1710",-100.87208429563,28.3410687043163
"83413","5","3","5","85475","3","48","3",,"749","749",-100.813358164605,28.355766624926
"83414","5","3","5","85481","3","49","2",,"1130","1132",-100.845022799804,28.3421161534692
"83415","5","3","5","85489","3","50","2",,"1194","1196",-100.855486144073,28.3390089341942
"83416","5","3","5","85496","3","51","3",,"2335","2338",-100.86575102975,28.3171288791958
"83417","5","3","5","85503","3","52","2",,"688","689",-100.843064596463,28.338365674373
"83418","5","3","5","85512","3","53","2",,"776","776",-100.847017003423,28.3350733682759
