seccion,longitud,latitud
250,-99.2364,19.5442
259,-99.2316,19.6081
6461,-99.5974,19.3539
260,-99.2280,19.6048
265,-99.2280,19.5996
266,-99.2291,19.6028
267,-99.2312,19.6042
268,-99.2317,19.6061
2510,-99.5917,19.2608
269,-99.2331,19.6035
291,-99.2315,19.6023
293,-99.2301,19.5968
311,-99.2583,19.5820
312,-99.2508,19.5849
315,-99.2340,19.5889
321,-99.2339,19.5816
322,-99.2371,19.5782
325,-99.2514,19.5776
326,-99.2526,19.5764
327,-99.2555,19.5785
3249,-99.0390,19.4242
328,-99.2627,19.5749
3250,-99.0407,19.4247
329,-99.2738,19.5690
330,-99.2731,19.5570
3404,-99.0364,19.4020
332,-99.2635,19.5614
333,-99.2577,19.5618
334,-99.2556,19.5665
3623,-99.0067,19.3792
335,-99.2550,19.5738
3529,-98.9989,19.4019
336,-99.2488,19.5669
337,-99.2499,19.5716
338,-99.2514,19.5741
339,-99.2479,19.5722
3551,-99.0028,19.3988
345,-99.2269,19.5777
353,-99.2464,19.5744
356,-99.2580,19.5569
3554,-99.0061,19.4004
358,-99.2514,19.5643
359,-99.2521,19.5614
360,-99.2456,19.5694
362,-99.2403,19.5654
372,-99.2420,19.5595
3557,-98.9979,19.3939
373,-99.2471,19.5590
374,-99.2498,19.5558
376,-99.2614,19.5537
380,-99.2505,19.5518
382,-99.2441,19.5540
383,-99.2410,19.5568
385,-99.2387,19.5616
3654,-98.9826,19.3889
386,-99.2332,19.5603
3675,-98.9772,19.3767
388,-99.2329,19.5575
389,-99.2359,19.5594
390,-99.2387,19.5549
393,-99.2340,19.5529
395,-99.2295,19.5503
397,-99.2326,19.5468
398,-99.2356,19.5485
3676,-98.9783,19.3772
399,-99.2513,19.5437
401,-99.2473,19.5383
402,-99.2458,19.5405
405,-99.2371,19.5384
407,-99.2392,19.5360
408,-99.2414,19.5369
410,-99.2456,19.5344
3697,-98.9786,19.3716
411,-99.2520,19.5314
581,-99.0838,19.6455
3452,-99.0106,19.4097
3453,-99.0080,19.4084
3456,-99.0091,19.4068
3053,-98.9959,19.4157
3085,-99.0123,19.4130
3086,-99.0100,19.4118
3104,-99.0188,19.4114
1662,-99.0397,19.5166
812,-99.1971,19.6431
1663,-99.0375,19.5173
3458,-99.0217,19.4103
3481,-99.0113,19.4003
836,-99.2078,19.6406
3251,-99.0426,19.4252
3252,-99.0444,19.4257
3253,-99.0462,19.4261
3254,-99.0480,19.4266
3255,-99.0496,19.4270
3256,-99.0511,19.4274
3257,-99.0526,19.4277
3258,-99.0544,19.4238
3259,-99.0528,19.4236
3260,-99.0513,19.4231
3261,-99.0500,19.4223
3283,-99.0344,19.4342
1496,-99.0809,19.5069
1552,-99.0324,19.5330
1626,-99.0222,19.5135
3306,-99.0241,19.4191
523,-99.1015,19.6305
543,-99.0780,19.6525
545,-99.0810,19.6500
551,-99.0961,19.6514
602,-99.0873,19.6348
3307,-99.0263,19.4198
605,-99.1078,19.6295
607,-99.0940,19.6312
616,-99.0928,19.6235
3308,-99.0273,19.4179
3309,-99.0290,19.4196
3310,-99.0309,19.4208
702,-99.2211,19.6895
704,-99.2113,19.6896
716,-99.2147,19.6811
3311,-99.0314,19.4193
736,-99.2234,19.6759
762,-99.2269,19.6701
764,-99.2145,19.6688
765,-99.2093,19.6685
767,-99.2089,19.6644
768,-99.2126,19.6660
769,-99.2147,19.6664
770,-99.2173,19.6674
781,-99.2120,19.6619
782,-99.2141,19.6598
783,-99.2160,19.6583
785,-99.2115,19.6557
786,-99.2153,19.6552
791,-99.2173,19.6510
788,-99.2183,19.6564
810,-99.1988,19.6458
792,-99.2143,19.6529
793,-99.2113,19.6512
794,-99.2103,19.6533
795,-99.2066,19.6521
796,-99.2009,19.6527
797,-99.1992,19.6488
798,-99.2026,19.6464
799,-99.2122,19.6495
800,-99.2167,19.6485
801,-99.2216,19.6504
803,-99.2264,19.6453
804,-99.2224,19.6458
805,-99.2223,19.6432
806,-99.2161,19.6436
807,-99.2112,19.6482
809,-99.2109,19.6454
813,-99.2020,19.6421
814,-99.2059,19.6441
816,-99.2114,19.6407
817,-99.2156,19.6392
818,-99.2191,19.6390
819,-99.2201,19.6392
820,-99.2245,19.6414
821,-99.2260,19.6413
822,-99.2274,19.6395
823,-99.2288,19.6364
824,-99.2355,19.6401
827,-99.2452,19.6304
837,-99.1995,19.6364
838,-99.1967,19.6411
839,-99.1959,19.6390
852,-99.2063,19.6302
858,-99.2310,19.6244
863,-99.2028,19.6263
865,-99.2009,19.6227
876,-99.2370,19.6203
880,-99.2416,19.6170
891,-99.1912,19.6020
892,-99.1932,19.5998
899,-99.1938,19.5950
901,-99.1875,19.5959
1632,-99.0251,19.5121
1333,-99.0448,19.6045
1343,-99.0506,19.5929
1261,-98.9830,19.3833
1265,-98.9713,19.3785
1302,-99.0498,19.5996
1331,-99.0515,19.6051
1332,-99.0469,19.6020
1330,-99.0562,19.6073
1334,-99.0414,19.6019
1340,-99.0566,19.5986
1341,-99.0509,19.5959
1342,-99.0483,19.5951
1344,-99.0575,19.5911
1345,-99.0485,19.5923
1420,-99.0583,19.5172
1424,-99.0603,19.5162
1460,-99.0448,19.4993
1493,-99.0887,19.5102
1494,-99.0861,19.5091
1510,-99.0464,19.5669
1516,-99.0508,19.5677
3505,-99.0255,19.3974
3506,-99.0236,19.3965
1544,-99.0155,19.5259
1594,-99.0447,19.5310
1619,-99.0329,19.5201
1636,-99.0306,19.5166
1715,-99.0224,19.4952
3312,-99.0385,19.4196
1837,-99.0344,19.5973
1838,-99.0340,19.5942
1854,-99.0361,19.5809
1856,-99.0437,19.5759
1857,-99.0429,19.5823
1906,-99.0352,19.5493
3333,-99.0291,19.4114
2511,-99.5879,19.2603
3334,-99.0308,19.4123
1992,-99.3747,19.3469
1993,-99.3511,19.3603
1994,-99.3483,19.3636
1995,-99.3413,19.3622
1996,-99.3529,19.3530
2530,-99.6114,19.2537
2008,-99.2700,19.4156
3046,-99.0128,19.4223
2034,-99.3043,19.3887
3336,-99.0351,19.4143
2018,-99.2684,19.4129
2531,-99.6011,19.2505
2019,-99.2733,19.4068
2020,-99.2749,19.4125
2022,-99.2777,19.4129
2023,-99.2784,19.4087
2024,-99.2866,19.4042
2029,-99.3195,19.3971
2028,-99.2940,19.4071
2042,-99.2808,19.3880
3049,-99.0091,19.4174
2044,-99.2842,19.3858
2039,-99.2826,19.3903
2040,-99.2768,19.3869
2052,-99.2893,19.3775
2046,-99.2815,19.3846
2047,-99.2850,19.3832
2048,-99.2815,19.3828
2049,-99.2836,19.3813
2050,-99.2870,19.3796
2051,-99.2879,19.3781
2054,-99.2928,19.3760
2055,-99.2940,19.3756
2057,-99.3307,19.3738
2060,-99.3623,19.3661
2067,-99.3695,19.3255
2066,-99.3434,19.3359
3341,-99.0367,19.4127
2076,-98.8792,19.3434
3342,-99.0351,19.4119
2110,-98.9267,19.3159
2122,-98.9378,19.3155
2163,-98.9392,19.3247
2156,-98.8695,19.3594
3080,-99.0149,19.4168
3081,-99.0173,19.4180
2591,-99.2428,19.4722
3343,-99.0334,19.4111
3345,-99.0307,19.4098
3346,-99.0295,19.4092
3082,-99.0179,19.4156
2488,-99.5951,19.2655
2464,-99.6045,19.2833
2465,-99.5986,19.2853
2466,-99.5883,19.2848
2467,-99.5903,19.2857
2469,-99.5696,19.2846
2470,-99.5718,19.2756
2472,-99.5900,19.2786
2474,-99.5976,19.2819
2476,-99.6044,19.2780
2477,-99.5969,19.2752
2478,-99.5958,19.2745
2480,-99.5843,19.2716
2481,-99.5924,19.2729
2482,-99.5967,19.2728
2483,-99.5920,19.2718
2484,-99.5916,19.2698
2485,-99.5946,19.2695
2486,-99.5997,19.2703
2487,-99.5963,19.2681
2490,-99.6097,19.2643
2498,-99.6283,19.2697
2499,-99.6343,19.2673
2500,-99.6432,19.2634
2501,-99.6411,19.2601
2502,-99.6359,19.2626
2503,-99.6297,19.2636
2504,-99.6243,19.2633
2505,-99.6148,19.2647
2506,-99.5992,19.2634
2507,-99.5968,19.2642
2508,-99.5957,19.2615
2512,-99.5758,19.2627
2513,-99.5630,19.2544
2515,-99.5865,19.2588
2516,-99.5924,19.2586
